"k","g","lambda","s"
1,0,559.627644531955,0.996435751421856
1,0,616.475705633717,0.996763628941426
1,0,679.098502995572,0.997061411522071
1,0,748.082645522509,0.997331849768829
1,0,824.074330989367,0.997577444949001
1,0,907.785399193756,0.997800471231182
1,0,1000,0.998002996004994
1,1,0.01,0.0099009900990099
1,1,0.011015819387359,0.0108957932963247
1,1,0.0121348276774914,0.0119893391133835
1,1,0.0133675069991971,0.0131911738898963
1,1,0.0147254042762412,0.0145117134292545
1,1,0.0162212393912917,0.0159623109245464
1,1,0.0178690243373583,0.0175553277583933
1,1,0.0196841944728661,0.0193042067137679
1,1,0.0216837531098744,0.0212235469575314
1,1,0.023886430789846,0.0233291799476427
1,1,0.0263128607389594,0.0256382451643584
1,1,0.0289857721465107,0.0281692642708218
